,ISIN,Convexity Accuracy %,Duration Accuracy %
0,DE000A2LQSJ0,0.6461699981255131,0.9651913157373098
1,XS1985024725,1.2578402211508821,1.016542197915307
2,US717081ED10,1.0034059002214422,1.0317369561242427
3,FR0013060209,0.8632169958911454,1.0255507911894204
4,US50077LAL09,1.0364871355825673,1.0382201746601014
5,US05723KAE01,1.0617778573326124,1.019349074442334
6,US07274NAJ28,1.1566085132046628,1.0619077726090045
7,XS1443997223,0.6488177284594608,1.0146835217243366
8,XS1420338102,0.9339993074521219,1.027025075001843
9,XS1807463408,1.5220310042953122,1.0217030581860906
10,XS1963744260,0.8866145837148602,1.0232884623952092
11,XS1734548487,0.636187518104045,1.015632859302851
12,US04685A2J93,1.1478246971043742,1.0106359702533616
13,FR0013378452,0.9870704637207898,1.1102898071368534
14,US28176EAD04,1.0568970187652194,1.037722380684586
15,XS1325645825,0.8833925449093826,1.0342244815292645
16,FR0013386539,0.6325951418122839,1.0127612184931383
17,US25272KAG85,1.5768699473724344,1.1863611827530083
18,US07274NAE31,1.2868525613753758,1.0615339178482621
